Date,Open,High,Low,Close,Adj Close,Volume
2010-08-31,5.690000,5.800000,5.570000,5.610000,5.610000,28571000
2010-09-01,5.750000,5.860000,5.680000,5.760000,5.760000,34998400
2010-09-02,5.820000,5.960000,5.700000,5.930000,5.930000,24411300
2010-09-03,6.050000,6.120000,5.890000,6.090000,6.090000,22285200
2010-09-07,6.040000,6.180000,5.950000,5.950000,5.950000,21679600
2010-09-08,5.960000,5.960000,5.790000,5.830000,5.830000,19381400
2010-09-09,5.950000,5.950000,5.820000,5.860000,5.860000,17213400
2010-09-10,5.880000,5.900000,5.670000,5.810000,5.810000,23117800
2010-09-13,5.890000,6.340000,5.890000,6.180000,6.180000,51746600
2010-09-14,6.160000,6.470000,6.080000,6.270000,6.270000,33687400
2010-09-15,6.250000,6.290000,6.130000,6.220000,6.220000,18351800
2010-09-16,6.210000,6.250000,6.100000,6.150000,6.150000,21556800
2010-09-17,6.210000,6.220000,6.090000,6.120000,6.120000,20223700
2010-09-20,6.160000,6.170000,6.020000,6.090000,6.090000,22871300
2010-09-21,6.100000,6.250000,6.060000,6.170000,6.170000,20615600
2010-09-22,6.120000,6.270000,6.060000,6.260000,6.260000,27117300
2010-09-23,6.200000,6.590000,6.140000,6.400000,6.400000,39689700
2010-09-24,6.600000,6.850000,6.600000,6.840000,6.840000,53726900
2010-09-27,6.920000,7.240000,6.840000,7.020000,7.020000,56266900
2010-09-28,7.060000,7.090000,6.870000,6.950000,6.950000,32223300
2010-09-29,6.870000,7.340000,6.850000,7.280000,7.280000,44249400
2010-09-30,7.390000,7.440000,6.990000,7.110000,7.110000,38514800
2010-10-01,7.200000,7.260000,7.010000,7.050000,7.050000,27510600
2010-10-04,7.030000,7.080000,6.840000,6.940000,6.940000,23042400
2010-10-05,7.040000,7.120000,6.890000,6.980000,6.980000,36286400
2010-10-06,7.010000,7.050000,6.780000,6.860000,6.860000,23477400
2010-10-07,6.890000,6.930000,6.770000,6.870000,6.870000,21005600
2010-10-08,6.870000,7.100000,6.790000,7.050000,7.050000,25394100
2010-10-11,7.100000,7.280000,7.080000,7.240000,7.240000,24687300
2010-10-12,7.260000,7.350000,7.160000,7.300000,7.300000,27727500
2010-10-13,7.450000,7.480000,7.220000,7.220000,7.220000,32283000
2010-10-14,7.230000,7.250000,7.000000,7.140000,7.140000,36306700
2010-10-15,7.360000,7.390000,7.010000,7.120000,7.120000,37688100
2010-10-18,7.110000,7.130000,6.890000,6.960000,6.960000,26657500
2010-10-19,6.860000,7.140000,6.800000,6.950000,6.950000,39344200
2010-10-20,6.980000,7.050000,6.800000,6.820000,6.820000,45596700
2010-10-21,6.870000,6.950000,6.790000,6.890000,6.890000,23156100
2010-10-22,6.860000,7.000000,6.860000,6.890000,6.890000,21180100
2010-10-25,6.960000,7.330000,6.940000,7.260000,7.260000,37042200
2010-10-26,7.200000,7.300000,7.140000,7.200000,7.200000,16114600
2010-10-27,7.170000,7.350000,7.160000,7.350000,7.350000,18477100
2010-10-28,7.360000,7.680000,7.340000,7.630000,7.630000,32454500
2010-10-29,7.610000,7.630000,7.310000,7.340000,7.340000,26841400
2010-11-01,7.480000,7.500000,7.300000,7.360000,7.360000,20604400
2010-11-02,7.410000,7.630000,7.400000,7.540000,7.540000,21752500
2010-11-03,7.520000,7.670000,7.470000,7.640000,7.640000,20359100
2010-11-04,7.710000,8.000000,7.670000,8.000000,8.000000,29582400
2010-11-05,8.030000,8.160000,7.970000,8.040000,8.040000,24711800
2010-11-08,8.030000,8.220000,8.030000,8.140000,8.140000,28465800
2010-11-09,8.220000,8.240000,7.850000,7.910000,7.910000,42726500
