Name,Sex,Weight
Christine Jacoba Aaftink,F,82.0
Christine Jacoba Aaftink,F,82.0
Christine Jacoba Aaftink,F,82.0
Christine Jacoba Aaftink,F,82.0
Christine Jacoba Aaftink,F,82.0
Christine Jacoba Aaftink,F,82.0
Per Knut Aaland,M,75.0
Per Knut Aaland,M,75.0
Per Knut Aaland,M,75.0
Per Knut Aaland,M,75.0
Per Knut Aaland,M,75.0
Per Knut Aaland,M,75.0
Per Knut Aaland,M,75.0
Per Knut Aaland,M,75.0
Jyri Tapani Aalto,M,70.0
Pepijn Aardewijn,M,72.0
Pepijn Aardewijn,M,72.0
Stefan Remco Aartsen,M,78.0
Stefan Remco Aartsen,M,78.0
Stefan Remco Aartsen,M,78.0
Stefan Remco Aartsen,M,78.0
Stefan Remco Aartsen,M,78.0
Lars Thorlaksn Aas,M,
Lars Thorlaksn Aas,M,
Lars Thorlaksn Aas,M,
Rolf Aas,M,
Thomas Valentin Aas,M,
Morten Gjerdrum Aasen,M,75.0
Arvi Aavik,M,106.0
Arvi Aavik,M,106.0
Nstor Abad Sanjun,M,64.0
Nstor Abad Sanjun,M,64.0
Nstor Abad Sanjun,M,64.0
Nstor Abad Sanjun,M,64.0
Nstor Abad Sanjun,M,64.0
Nstor Abad Sanjun,M,64.0
Mohamed Jamshid Abadi,M,
Borislav Abadzhiev,M,66.0
Georgi Abadzhiev,M,
Georgi Abadzhiev,M,
Stefan Abadzhiev,M,72.0
Mariya Vasilyevna Abakumova (-Tarabina),F,80.0
Mariya Vasilyevna Abakumova (-Tarabina),F,80.0
Enrique Abaroa Martnez,M,75.0
Jos Manuel Abascal Gmez,M,67.0
Jos Manuel Abascal Gmez,M,67.0
Nunu Dzhansuhivna Abashydze (-Myslaieva),F,105.0
Ral Abatte,M,
Oszkr Abay-Nemes,M,
Oszkr Abay-Nemes,M,
Bassim Abbas Kati Al-Ogaili,M,80.0
Maher Abbas,M,78.0
Maher Abbas,M,78.0
Muhammad Abbas,M,55.0
Tural Abbasov,M,76.0
Salwan Jasim Abbood Abbood,M,104.0
"George ""Ioannis"" Abbot",M,
Clare Abbott,F,58.0
Clare Abbott,F,58.0
Geoffrey Grant Abbott,M,80.0
Jeremy Abbott,M,70.0
Jeremy Abbott,M,70.0
Jeremy Abbott,M,70.0
Mara Katherine Abbott,F,52.0
Mohamed Ibrahim Abd El-Fatah Mohamed,M,98.0
Mohamed Ibrahim Abd El-Fatah Mohamed,M,98.0
Mohamed Ibrahim Abd El-Fatah Mohamed,M,98.0
Reem Wa'il Abdalazem Abdalazem El-Bossaty,F,60.0
Reem Wa'il Abdalazem Abdalazem El-Bossaty,F,60.0
Reem Wa'il Abdalazem Abdalazem El-Bossaty,F,60.0
Maha Abdalsalam Gouda,F,61.0
Mohamed Abdel Fatah,M,69.0
Osman Abdel Hafeez,M,
Osman Abdel Hafeez,M,
Osman Abdel Hafeez,M,
Osman Abdel Hafeez,M,
Osman Abdel Hafeez,M,
Mohamed Fathallah Abdel Rahman,M,
Mohamed Fathallah Abdel Rahman,M,
Mohamed Fathallah Abdel Rahman,M,
Mohamed Fathallah Abdel Rahman,M,
Mohamed Fathallah Abdel Rahman,M,
Mohamed Fathallah Abdel Rahman,M,
Mohamed Fathallah Abdel Rahman,M,
Ibrahim Abdel Rahman,M,
Sameh Abdel Rahman,M,
Sameh Abdel Rahman,M,
Sameh Abdel Rahman,M,
Ahmed Ali Abdel Samad,M,95.0
Mohamed Said Abdel Wehab,M,48.0
Ihab Abdelrahman El-Sayed Abdelrahman,M,96.0
Abouelfetoh Abdelrazek,M,
Mouni Abderrahim,F,60.0
Mouni Abderrahim,F,60.0
Jamal Abdi Hassan Abdullah,M,65.0
Jamal Abdi Hassan Abdullah,M,65.0
Shaimaa Abdul Aziz,F,53.0
Shaimaa Abdul Aziz,F,53.0
Shaimaa Abdul Aziz,F,53.0
Hadi Abdul Jabbar,M,117.5
Hadi Abdul Jabbar,M,117.5
Zambrose Abdul Rahman,M,64.0
Ahmed Abdulkareem Ahmed,M,
Ahmed Ghanim Abdullah,M,79.0
Zarinah Abdullah,F,
Zarinah Abdullah,F,
Arif Yadulla Abdullayev,M,60.0
Arif Yadulla Abdullayev,M,60.0
lqar Abdulov,M,74.0
Julius Shareef Abdur-Rahim,M,104.0
Sherzod Abdurahmonov,M,73.0
Bekzod Makhamadzhonovich Abdurakhmonov,M,74.0
Adlan Aliyevich Abdurashidov,M,60.0
Masashi Abe,M,64.0
Masashi Abe,M,64.0
Masashi Abe,M,64.0
Masashi Abe,M,64.0
Masashi Abe,M,64.0
Osamu Abe,M,
Yuki Abe,M,75.0
Alexandre Abeid,M,92.0
Alexandre Abeid,M,92.0
Adolf Gaston Abel,M,
Adolf Gaston Abel,M,
Brooke Abel,F,52.0
Gnther Abel,M,80.0
Gnther Abel,M,80.0
Juan Luis Abelln Pallahi,M,
Majken berg,F,60.0
Koutoua Francis Abia,M,80.0
Koutoua Francis Abia,M,80.0
Koutoua Francis Abia,M,80.0
Koutoua Francis Abia,M,80.0
Younis Abid Sadkhan,M,
Camille Anne Franoise Abily,F,60.0
Camille Anne Franoise Abily,F,60.0
Enver Nazymovych Ablaiev,M,68.0
Enver Nazymovych Ablaiev,M,68.0
Enver Nazymovych Ablaiev,M,68.0
Galal El-Din Abdel Meguid Abou El-Kheir,M,
Magdy Abou El-Magd,M,85.0
Mohamed Moustafa Abou Elea,M,54.0
Mohammed Tawfiq Abou Habaga,M,
Youssef Kamel Mohamed Abou Ouf,M,
Youssef Kamel Mohamed Abou Ouf,M,
Taher Abou Zeid Sayid Amer,M,
Fathi Khalifa Aboud,M,75.0
Kamel Aboud,M,67.0
Rabah Aboud,M,64.0
Mamdouh Taha Al-Husseini Abouebaid,M,85.0
Glen Abrahams Martnez,M,72.0
Glen Abrahams Martnez,M,72.0
Sidney Solomon Abrahams,M,
Sidney Solomon Abrahams,M,
Sidney Solomon Abrahams,M,
Kurt Christer Abrahamsson (-Abris),M,77.0
Ek'aterina Abramia,F,43.0
Andrey Viktorovich Abramov,M,70.0
Andrey Viktorovich Abramov,M,70.0
Colin Winston Abrams,M,70.0
Paulo Francisco Joazeiro de Abreu,M,78.0
Franck Abrial,M,68.0
Brian Kenneth Abshire,M,59.0
"Aleksandr Viktorovich ""Sasha"" Abt",M,68.0
Mohamed Abu Abdullah,M,74.0
Methkal Marouf Abu Drais,M,67.0
Methkal Marouf Abu Drais,M,67.0
Majed Abu Maraheel,M,76.0
Bektas Abubakirov,M,54.0
Nagmeldin Ali Abubakr,M,63.0
Nagmeldin Ali Abubakr,M,63.0
